iter	Logloss
0	0.6339740587
1	0.5883771759
2	0.5559695212
3	0.5335658279
4	0.5168757665
5	0.5009586152
6	0.4903681445
7	0.4796211665
8	0.4716150245
9	0.4653259358
10	0.4562279726
11	0.4501297856
12	0.4457114611
13	0.4409391137
14	0.4373917839
15	0.4322748962
16	0.4291710032
17	0.4271233054
18	0.4247764327
19	0.4219634862
20	0.4180139499
21	0.4159803361
22	0.4134898929
23	0.412417864
24	0.4089155932
25	0.4071729562
26	0.4041163744
27	0.4026331305
28	0.4009783961
29	0.4001905821
30	0.3993900609
31	0.3983615025
32	0.3970927121
33	0.3945916144
34	0.3938871679
35	0.392993512
36	0.391948836
37	0.3886406667
38	0.3871126507
39	0.3861904409
40	0.3854601342
41	0.3847990171
42	0.3842851001
43	0.3837876615
44	0.3831216403
45	0.3825235562
46	0.3819436216
47	0.381265834
48	0.3806921913
49	0.3800955747
50	0.3783406848
51	0.3775483133
52	0.3751164214
53	0.3744799701
54	0.3741287345
55	0.3723268494
56	0.3718811217
57	0.3714023
58	0.3705617998
59	0.3699344811
60	0.3690955076
61	0.3680807339
62	0.3676265666
63	0.3671015435
64	0.3664986044
65	0.3660525607
66	0.3652537335
67	0.3647942992
68	0.3642424465
69	0.3629930158
