iter	Passed	Remaining
0	2	159
1	4	147
2	6	140
3	8	136
4	10	135
5	12	132
6	14	129
7	16	127
8	18	125
9	20	124
10	22	121
11	24	119
12	26	117
13	28	115
14	30	112
15	32	110
16	34	108
17	36	106
18	38	104
19	40	102
20	42	99
21	44	97
22	46	95
23	48	93
24	50	91
25	52	89
26	54	87
27	56	85
28	58	83
29	60	81
30	62	78
31	64	76
32	66	74
33	68	72
34	70	70
35	72	68
36	74	66
37	76	64
38	78	62
39	80	60
40	82	58
41	84	56
42	86	54
43	88	52
44	90	50
45	92	48
46	94	46
47	96	44
48	98	42
49	100	40
50	102	38
51	104	36
52	106	34
53	108	32
54	110	30
55	112	28
56	114	26
57	116	24
58	118	22
59	119	19
60	121	17
61	123	15
62	125	13
63	128	12
64	129	9
65	131	7
66	133	5
67	135	3
68	137	1
69	139	0
